
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2020-06-07;46.828,09;7914524737531;49.094,49;8136611647899;44.895,93;11655951440972;48.623,43;2647087091275;75.210,40;1084602399578;44.963,35;6044053288819;49.415,31;50807598417
2020-06-08;46.562,69;7880251173462;48.814,83;8103058547229;44.662,85;11731540465747;48.329,73;2635149340904;74.706,00;1077991675098;44.690,20;6011702841004;49.139,45;51160650730
2020-06-09;46.352,56;7862640993170;48.572,29;8078313851145;44.497,90;11714111972315;48.071,23;2629971566303;74.271,32;1072979638259;44.438,68;5985401309624;48.890,03;51137917119
2020-06-10;46.420,56;7885573618005;48.645,10;8100337515338;44.570,05;11737687780027;48.158,86;2639801088416;74.395,66;1076082750229;44.509,48;6000025422725;48.975,24;51543485559
2020-06-11;46.753,73;7928209960988;49.012,47;8144862716666;44.872,64;11784060412220;48.477,44;2658372317424;75.003,65;1085904793676;44.873,43;6047574842044;49.300,74;51895165934
2020-06-12;46.724,03;7900983052908;48.992,98;8128952111388;44.843,94;11734760539675;48.494,45;2659826592049;75.005,31;1086522125204;44.880,56;6040537946303;49.298,75;51932328984
2020-06-13;46.724,03;7900983052908;48.992,98;8128952111388;44.843,94;11734760539675;48.494,45;2659826592049;75.005,31;1086522125204;44.880,56;6040537946303;49.298,75;51932328984
2020-06-14;46.724,03;7900983052908;48.992,98;8128952111388;44.843,94;11734760539675;48.494,45;2659826592049;75.005,31;1086522125204;44.880,56;6040537946303;49.298,75;51932328984
2020-06-15;46.668,67;7861552088633;48.931,63;8112191008373;44.794,81;11714739050696;48.443,56;2654182962569;74.888,54;1085955468989;44.811,53;6031296082333;49.241,02;52476076352
2020-06-16;46.698,79;7838925356539;48.928,98;8100798943071;44.814,94;11703763371332;48.457,59;2656007412638;74.908,88;1086853903046;44.855,62;6033723643339;49.234,14;52613469555
